DISTRICT,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ASHOKNAGAR(GNA,13.7,5.5,865.1,42.4
BURHANPUR,7.1,25,784.2,72.8
ALIRAJPUR(JBA),6.1,11.7,799,46.8
BALAGHAT,36.2,28.9,1334.6,81.9
CHHATARPUR,30.2,14.4,985,51.8
CHHINDWARA,32.2,34.1,882.8,72.5
JABALPUR,29.6,22.7,1090.3,49.8
MANDLA,47.3,39.9,1245.8,64
NARSINGHPUR,21.4,13.8,1067.1,44.1
PANNA,37.3,15.3,1072.1,47
REWA,31.9,18.1,971.7,46.8
SAGAR,30,19.2,1088.1,54.9
SATNA,38.8,17.9,953.2,46.2
SEONI,37.1,42.1,1038.4,74.2
SHAHDOL,42.6,25.8,994.7,46.8
SIDHI,35.4,24.4,1016.4,50.8
TIKAMGARH,27.2,11.2,853.2,46.9
KATNI,33.6,14.6,1051.3,41.6
DINDORI,39,27.9,1205.9,63.9
UMARIA,48.2,31.5,1093.9,62.1
DAMOH,36.7,21.8,1071,51.1
ANUPPUR(SHAHD,54.3,55.1,1174.8,70.3
SINGRAULI,23,16,832.3,49.9
AHMEDABAD,1.1,7.1,602.6,29.1
BANASKANTHA,2.7,7,563.5,25.2
BARODA,1.2,5.9,942.8,42.3
BHARUCH,0.4,5.8,786.2,32.5
VALSAD,0.8,6.8,1951.3,62.8
DANGS,2.5,17.3,1961.7,81.5
KHEDA,1.6,6.2,811.6,30.7
MEHSANA,1.9,7.7,655.7,27.4
PANCHMAHALS,1.1,7,912.1,39.1
SABARKANTHA,1.7,8.2,778.7,27.7
SURAT,0.1,6.4,1253.6,44.6
GANDHINAGAR,1.5,7.9,715.6,27.7
NARMADA(BRC),0.5,7.3,1099.8,36.1
NAVSARI(VSD),0.7,8,1803.3,54.4
ANAND(KHR),1.5,5.7,788.9,38.5
PATAN(MHSN),2,5.6,513.9,18.1
DAHOD(PNML),2,6.8,853.3,41.5
TAPI(SRT),0,9,1484.9,42.1
AMRELI,0.8,4.8,518.2,43.5
BHAVNAGAR,0.8,4.2,537.7,35.6
JAMNAGAR,1.6,4.5,462.4,29.5
JUNAGADH,0.9,1.6,787.2,40.7
KUTCH,1.3,4.7,361.3,21.5
RAJKOT,0.3,4.2,540.1,34.5
SURENDRANAGAR,0.2,5.1,499.8,29.5
PORBANDAR,1.4,3,672.7,39.5
DNH,0.7,7.4,2316.9,49.1
DAMAN,0.7,7.4,2316.9,49.1
DIU,1.4,1.5,646.7,47.7
MUMBAI CITY,2,19.4,2142.4,93.7
RAIGAD,0.4,22.2,3117.7,138.6
RATNAGIRI,0.1,35.3,3261.5,173.7
THANE,0.5,14.9,2428.3,98.4
SINDHUDURG,0.4,63.6,3021.8,183.4
MUMBAI SUB,2,19.4,2142.4,93.7
NORTH GOA,0.4,104,3154.9,212.1
SOUTH GOA,0.8,88.2,2806.9,189.7
AHMEDNAGAR,1.9,29.9,437.6,103.8
DHULE,3.5,15.1,523.5,65.1
JALGAON,5.7,13.2,641.8,70.2
KOLHAPUR,1.8,90.7,1737.6,162.7
NASHIK,1.7,20.8,912.2,94.9
PUNE,0.7,36.6,861,117.4
SANGLI,2.5,80.9,508.1,139.1
SATARA,1.4,53.5,723.8,133.8
SOLAPUR,4.2,42.4,474.2,125.7
NANDURBAR,1,11.1,828.4,50.2
AURANGABAD,4.1,23,594.2,94.9
BEED,4.5,30.5,569.4,104
NANDED,9.4,33.1,816.4,102.2
OSMANABAD,6,37.7,623.4,112.2
PARBHANI,8.7,29.8,757.2,101.3
LATUR,8,40.4,752.5,109.1
JALNA,5.2,24.7,606.4,93.4
HINGOLI,9.8,26.7,849.1,93.8
AKOLA,13.9,22.9,702.3,76.3
AMRAVATI,16.4,17.9,786.6,76.5
BHANDARA,29.1,39.3,1137.2,87.1
BULDHANA,7.6,17,646.6,75.7
CHANDRAPUR,20.3,37,1131.8,82.9
NAGPUR,24.6,36.6,923.9,83.3
YAVATMAL,13.2,30.6,855,84
WARDHA,20.4,37.5,880.3,88.8
GADCHIROLI,17.2,43.2,1303,86.4
WASHIM,14.7,20.7,825.6,79.9
GONDIA,26.4,33.8,1228.8,81.7
BASTAR,16.8,91.5,1154.2,100.1
BILASPUR,34.6,51,1067.8,75.6
DURG,12.1,28.6,1018,64.2
RAIGARH,23.8,41.3,1143.5,61.3
RAIPUR,15,38,1047,64.6
SURGUJA,33.8,36.6,1195.1,66.4
RAJNANDGAON,18.2,35.9,1076.6,78.6
DANTEWADA,3.4,41.1,1178.1,105.3
KANKER (NORH,19,52.8,1236.7,86.7
JANJGIR-CHAMP,25.2,32.5,1201.9,56.2
KORBA,32.6,40.4,1243.5,69
JASHPUR,40.8,63.3,1348.6,91.7
DHAMTARI,12.9,39.9,1050.6,65.2
MAHASAMUND,11.5,28.2,1044,57.6
KORIYA,23.1,19.9,1138.9,41.5
KOWARDHA (KAB,26.5,38.3,882.9,81.6
NARAYANPUR,15.6,61.9,1227.4,99.6
BIJAPUR,10.4,43.2,1369.1,105.5
EAST GODAVARI,16.1,109.4,703.9,276.6
WEST GODAVARI,16.8,83.5,783.9,276.2
GUNTUR,13.2,81.1,543,234.2
KRISHNA,10.9,72.4,701.4,242.4
NELLORE,27.3,72.6,352.4,639.3
PRAKASAM,16.7,77.7,382.5,329
SRIKAKULAM,26,107.4,745.7,286.1
VISAKHAPATNAM,19.6,158.9,674.4,267.8
VIZIANAGARAM,23.1,140.7,726.1,250.5
ADILABAD,14.5,41.5,958.9,105.1
HYDERABAD,13.3,68.8,643.5,125.7
KARIMNAGAR,16.4,50.5,800.3,112.6
KHAMMAM,11.6,87,860.4,135.9
MAHABUBNAGAR,4.7,56.3,559.7,110.4
MEDAK,11.4,56.3,743.9,110.7
NALGONDA,8.4,53,554.7,144.4
NIZAMABAD,12.3,45.6,920.1,113.9
WARANGAL,16.1,55.2,796.6,119
RANGAREDDY,7.1,63.1,653.7,117.9
ANANTAPUR,6.3,81.7,322.8,161.9
CHITTOOR,15.3,102.9,417.1,362.9
KUDDAPAH,4.3,69.6,404.1,238.9
KURNOOL,3.1,75.7,460.2,140.6
VELLORE,14.9,106.5,466.1,348.7
COIMBATORE,20.3,150.3,189.8,328.9
DHARMAPURI,18.2,160.4,393.4,330.1
KANYAKUMARI,40.4,288.3,477.4,496.4
CHENNAI,36.7,58.5,439.1,789.9
MADURAI,28.1,144.8,335.9,419.1
NILGIRIS,49.3,235.3,759.9,478.2
RAMANATHAPURA,51.3,115.5,149.3,491.7
SALEM,16,170.8,440.6,370.5
THANJAVUR,42.3,102.1,318.4,550.3
TIRUCHIRAPPAL,22.7,109.9,293.9,391.5
TIRUNELVELI,69.3,166.2,142.4,467.2
ERODE,16.1,142.4,229.8,314.6
PUDUKKOTTAI,33.1,97.5,350.6,406.2
DINDIGUL,30.9,168,295.4,436.4
VIRUDHUNAGAR,42.8,161.5,196.8,419
SIVAGANGA,27.9,121.2,301,422.7
THOOTHUKUDI,42.8,111.6,74.9,427
TIRUVANNAMALA,26.5,98.9,468.1,446.5
NAGAPATTINAM,85.7,80.5,286.1,941
VILUPPURAM,28.2,76,408.3,499.1
CUDDALORE,44.1,81.7,383.1,697.8
